"Município";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";" Total"
"130083 CAAPIRANGA";"7,75";"3,63";"34,84";"41,97";"123,89";"137,95";"175,16";"37,76";"78,26";"34,64";"192,41";"244,38";"82,20";"111,48";"58,77";"82,98";"70,74";"67,55";"63,30";"45,96";"81,88";"77,34";"65,52";"53,20";"81,97";"60,65";"47,69";"72,70"
"130090 CANUTAMA";"32,20";"5,38";"0,18";"44,94";"86,29";"89,57";"86,26";"75,85";"81,73";"89,74";"60,94";"111,44";"119,62";"68,82";"56,82";"83,85";"104,17";"58,33";"70,83";"82,58";"84,98";"82,05";"65,80";"87,45";"64,06";"73,82";"37,17";"61,82"
"130100 CARAUARI";"30,34";"16,17";"42,36";"68,47";"61,27";"78,21";"68,75";"62,10";"92,01";"67,78";"54,92";"71,95";"65,37";"84,54";"59,18";"61,30";"59,67";"65,20";"56,10";"76,72";"56,00";"59,52";"37,65";"56,02";"67,53";"71,41";"66,13";"61,37"
"130110 CAREIRO";"0";"0";"24,14";"53,75";"68,40";"94,74";"121,93";"63,83";"62,96";"80,90";"65,59";"171,29";"147,70";"110,12";"109,14";"126,16";"140,12";"113,37";"93,02";"90,26";"79,42";"83,14";"71,63";"100,71";"82,64";"73,24";"55,86";"74,18"
"130115 CAREIRO DA VARZEA";"0";"0";"69,10";"36,40";"60,19";"43,52";"140,29";"55,40";"60,96";"129,06";"110,88";"144,67";"167,47";"146,33";"240,79";"194,29";"170,48";"149,52";"114,29";"113,00";"214,04";"202,94";"58,17";"87,98";"107,04";"94,94";"56,96";"92,04"
"130120 COARI";"0,15";"0";"37,14";"45,08";"65,13";"63,12";"85,16";"65,19";"59,46";"73,55";"56,66";"65,53";"78,76";"70,34";"66,19";"69,60";"77,84";"76,15";"67,25";"71,60";"84,11";"92,96";"62,00";"54,24";"50,30";"52,90";"36,65";"62,42"
"130130 CODAJAS";"0";"0";"47,06";"55,96";"72,17";"67,97";"73,32";"41,57";"57,03";"55,75";"69,93";"69,66";"115,88";"75,00";"73,26";"69,59";"62,21";"65,44";"77,65";"89,32";"64,35";"69,18";"78,35";"70,82";"82,18";"79,95";"44,65";"63,46"
"130140 EIRUNEPE";"0,40";"0";"26,16";"37,58";"79,16";"47,34";"54,84";"56,74";"71,99";"78,18";"59,61";"40,68";"45,75";"69,12";"61,26";"79,70";"90,41";"70,73";"72,98";"60,90";"45,50";"55,93";"37,90";"52,54";"59,41";"52,81";"38,88";"53,71"
"130150 ENVIRA";"0";"0";"5,41";"24,83";"34,42";"99,79";"142,19";"77,65";"58,98";"52,17";"46,09";"62,41";"68,47";"111,50";"92,86";"95,40";"76,07";"76,69";"81,29";"86,31";"99,68";"83,61";"74,74";"74,48";"71,82";"68,40";"73,11";"66,12"
"130160 FONTE BOA";"0";"0";"130,77";"29,08";"133,84";"57,03";"54,22";"41,78";"47,16";"42,31";"56,24";"69,98";"62,05";"94,49";"72,85";"98,11";"87,90";"62,00";"49,15";"66,60";"83,65";"62,41";"44,28";"38,47";"62,98";"59,68";"40,16";"58,94"
"130165 GUAJARA";"44,25";"84,66";"82,37";"49,01";"71,97";"100,44";"157,55";"53,16";"55,11";"36,76";"20,82";"60,43";"31,85";"30,41";"38,71";"43,36";"47,09";"59,91";"67,13";"50,14";"63,06";"49,54";"49,58";"54,65";"57,75";"55,83";"28,83";"54,04"
"130170 HUMAITA";"8,16";"151,13";"97,65";"148,92";"96,90";"209,14";"172,20";"99,03";"104,55";"115,24";"61,75";"91,34";"99,44";"95,56";"124,27";"94,09";"77,88";"75,36";"76,45";"72,96";"73,49";"75,36";"76,03";"81,61";"87,35";"103,70";"65,43";"91,79"
"130180 IPIXUNA";"12,30";"21,87";"17,56";"76,70";"136,94";"138,12";"215,69";"95,41";"46,94";"57,21";"64,54";"46,71";"57,57";"51,85";"53,74";"72,07";"47,12";"58,21";"37,53";"58,62";"66,74";"43,78";"49,36";"55,73";"64,92";"57,95";"19,80";"61,48"
"130185 IRANDUBA";"0";"0";"75,39";"85,64";"68,02";"62,62";"54,00";"55,63";"58,43";"56,52";"54,08";"66,62";"82,91";"102,52";"91,64";"83,93";"71,31";"99,05";"90,36";"88,89";"91,76";"73,82";"85,93";"84,54";"78,70";"98,51";"52,07";"72,13"
"130190 ITACOATIARA";"9,55";"105,47";"47,42";"76,14";"79,44";"63,28";"143,33";"112,30";"97,46";"103,08";"103,77";"112,63";"104,25";"120,61";"105,56";"107,38";"107,68";"90,84";"97,87";"97,51";"87,96";"64,72";"60,43";"72,48";"68,08";"79,55";"60,35";"88,49"
"130195 ITAMARATI";"9,85";"15,53";"8,44";"65,13";"123,42";"98,54";"113,76";"95,62";"56,60";"72,70";"53,94";"64,92";"57,14";"119,07";"76,67";"119,73";"103,40";"80,27";"80,27";"59,75";"75,13";"29,62";"47,41";"54,98";"56,08";"82,04";"56,73";"63,55"
"130200 ITAPIRANGA";"0";"0";"47,59";"16,59";"131,96";"68,72";"79,24";"99,04";"77,21";"111,36";"57,45";"94,55";"97,03";"128,99";"82,74";"108,52";"90,91";"81,25";"100,57";"104,55";"100,00";"80,33";"97,40";"114,94";"82,89";"92,12";"84,85";"82,37"
"130210 JAPURA";"23,52";"2,50";"7,63";"19,12";"21,05";"39,77";"35,19";"54,21";"65,08";"64,89";"111,36";"145,92";"132,31";"180,37";"85,60";"137,82";"124,37";"113,45";"115,97";"142,45";"111,97";"85,27";"110,81";"77,70";"94,67";"86,96";"45,34";"69,06"
"130220 JURUA";"23,75";"0";"109,52";"76,47";"203,16";"69,86";"131,34";"63,43";"74,54";"54,87";"92,79";"125,62";"68,29";"81,74";"97,42";"93,57";"80,71";"89,29";"108,57";"87,43";"121,18";"103,02";"35,29";"55,08";"66,47";"47,43";"49,80";"78,39"
"130230 JUTAI";"0";"0,88";"55,38";"73,40";"88,42";"67,64";"45,88";"87,55";"58,30";"69,88";"73,17";"81,95";"94,19";"106,67";"95,05";"136,92";"104,91";"93,69";"111,21";"94,21";"72,38";"42,72";"34,78";"52,66";"57,98";"49,47";"17,15";"65,11"
"130240 LABREA";"37,90";"72,98";"39,01";"141,49";"135,11";"114,48";"121,26";"158,95";"112,16";"77,61";"81,43";"82,60";"82,08";"90,01";"85,20";"104,65";"87,65";"82,20";"85,26";"93,01";"93,70";"81,18";"61,85";"74,75";"75,89";"79,49";"59,38";"88,13"
"130250 MANACAPURU";"18,88";"51,15";"90,92";"70,79";"118,80";"92,99";"78,55";"92,61";"97,87";"97,51";"81,52";"107,91";"117,61";"110,46";"97,17";"105,92";"97,19";"110,67";"114,94";"113,08";"110,88";"109,63";"18,11";"43,44";"54,47";"54,23";"44,12";"85,60"
"130255 MANAQUIRI";"0";"0,31";"49,86";"43,85";"83,69";"23,11";"33,58";"175,90";"102,37";"91,23";"82,91";"105,67";"124,19";"178,21";"166,97";"203,68";"150,31";"138,65";"143,56";"123,89";"90,80";"73,09";"105,15";"93,99";"101,58";"67,00";"69,00";"82,32"
"130260 MANAUS";"0,23";"1,98";"95,34";"89,16";"142,91";"128,26";"128,36";"122,97";"103,15";"91,00";"72,08";"91,15";"97,10";"102,13";"89,66";"96,97";"90,14";"94,67";"101,01";"92,76";"98,30";"102,51";"90,17";"71,09";"64,81";"75,01";"52,14";"86,85"
"130270 MANICORE";"0";"0,09";"40,92";"33,52";"54,00";"71,92";"60,40";"92,05";"44,33";"72,87";"55,47";"66,75";"79,04";"102,96";"66,30";"76,57";"72,83";"88,53";"93,00";"75,48";"86,79";"87,10";"80,28";"75,06";"54,29";"61,17";"31,04";"60,79"
"130280 MARAA";"0,70";"15,93";"6,28";"19,50";"41,87";"29,15";"32,90";"56,83";"78,79";"70,98";"93,87";"89,92";"40,79";"113,03";"80,68";"139,10";"106,27";"65,67";"52,24";"65,87";"54,63";"53,15";"32,91";"48,61";"67,79";"66,99";"40,19";"52,72"
"130290 MAUES";"6,25";"80,87";"56,14";"60,46";"77,46";"70,43";"80,29";"83,02";"100,42";"88,17";"58,54";"77,08";"66,73";"84,21";"64,89";"85,61";"76,51";"62,19";"74,45";"74,68";"60,55";"63,41";"40,01";"45,34";"50,48";"47,84";"27,37";"65,47"
"130300 NHAMUNDA";"0";"2,44";"25,83";"56,92";"93,54";"72,43";"66,24";"81,49";"86,05";"137,85";"97,13";"93,24";"81,31";"129,23";"116,23";"87,20";"87,50";"100,61";"76,83";"105,63";"86,51";"122,33";"55,06";"58,15";"75,96";"67,88";"21,23";"74,63"
"130310 NOVA OLINDA DO NORTE";"0";"0";"50,63";"29,38";"105,50";"83,44";"111,23";"56,98";"57,20";"75,90";"56,85";"99,59";"98,10";"88,80";"90,83";"80,66";"82,31";"64,30";"74,21";"77,26";"77,46";"62,58";"48,14";"52,34";"62,12";"72,13";"30,41";"68,44"
"130320 NOVO AIRAO";"0";"0";"15,15";"19,17";"60,09";"44,99";"41,58";"98,57";"144,28";"107,85";"61,19";"73,36";"80,90";"84,68";"66,67";"74,77";"62,15";"70,77";"60,92";"74,36";"104,67";"90,65";"56,07";"58,36";"66,78";"63,36";"45,65";"56,59"
"130330 NOVO ARIPUANA";"0";"38,58";"1,16";"38,08";"87,13";"73,33";"83,75";"68,43";"61,07";"52,50";"53,33";"70,22";"107,20";"102,98";"62,98";"76,77";"57,83";"38,89";"52,78";"63,95";"61,44";"62,46";"58,77";"15,79";"41,15";"58,37";"14,78";"55,70"
"130340 PARINTINS";"5,61";"35,51";"4,18";"40,94";"49,19";"36,58";"48,75";"55,19";"126,10";"93,91";"130,45";"130,78";"100,86";"99,03";"102,65";"93,59";"97,19";"98,41";"98,36";"95,34";"96,73";"91,98";"48,75";"82,95";"79,69";"68,30";"33,89";"76,67"
"130350 PAUINI";"14,20";"12,31";"1,87";"38,66";"33,26";"67,05";"81,18";"63,31";"53,44";"64,98";"91,10";"68,20";"84,85";"95,06";"84,81";"88,41";"82,62";"85,37";"85,37";"56,65";"67,21";"52,04";"15,66";"47,80";"55,17";"49,58";"32,96";"57,01"
"130353 PRESIDENTE FIGUEIREDO";"9,31";"58,33";"55,08";"80,69";"226,30";"100,92";"106,96";"87,50";"72,04";"88,56";"75,86";"89,38";"97,33";"98,23";"122,59";"103,25";"157,55";"108,80";"123,33";"102,38";"76,94";"82,07";"72,31";"82,74";"80,11";"93,12";"61,38";"93,34"
"130356 RIO PRETO DA EVA";"0";"32,54";"138,52";"78,32";"68,75";"80,43";"65,88";"83,15";"81,92";"69,56";"85,23";"98,48";"116,39";"145,92";"104,24";"114,72";"105,00";"125,83";"114,17";"141,32";"99,17";"87,17";"76,89";"80,29";"70,36";"65,88";"61,14";"88,16"
"130360 SANTA ISABEL DO RIO NEGRO";"0,94";"0";"48,84";"88,73";"157,51";"82,97";"170,76";"53,18";"72,38";"50,00";"54,48";"68,85";"87,13";"77,39";"83,62";"61,51";"81,70";"84,86";"65,93";"122,38";"70,06";"103,93";"100,46";"103,20";"89,26";"67,30";"31,62";"68,95"
"130370 SANTO ANTONIO DO ICA";"0";"37,29";"28,14";"60,49";"60,52";"25,69";"37,97";"66,26";"42,24";"23,68";"56,15";"65,80";"79,64";"84,53";"75,13";"77,59";"77,41";"84,14";"110,00";"118,69";"81,59";"109,22";"79,66";"77,66";"104,49";"81,91";"51,66";"64,98"
"130380 SAO GABRIEL DA CACHOEIRA";"10,55";"3,95";"43,46";"101,88";"112,04";"114,30";"179,93";"78,20";"51,75";"98,40";"43,74";"47,39";"43,66";"69,51";"80,59";"77,31";"76,35";"65,71";"74,52";"86,89";"83,47";"61,23";"58,93";"72,82";"68,27";"80,97";"32,04";"69,66"
"130390 SAO PAULO DE OLIVENCA";"229,20";"52,93";"74,85";"35,65";"59,88";"39,63";"45,55";"75,58";"70,38";"74,46";"57,53";"95,45";"57,16";"79,91";"58,32";"89,73";"92,42";"76,77";"85,45";"84,45";"75,29";"91,25";"85,03";"91,34";"105,77";"86,29";"19,12";"75,43"
"130395 SAO SEBASTIAO DO UATUMA";"0";"0";"87,62";"82,86";"74,31";"31,42";"75,21";"49,62";"77,94";"50,00";"91,84";"86,89";"77,47";"86,41";"95,38";"88,07";"88,07";"83,52";"84,66";"78,45";"88,07";"92,55";"54,94";"61,73";"75,57";"68,45";"53,88";"68,82"
"130400 SILVES";"0";"0";"4,65";"0,47";"85,52";"104,78";"75,21";"84,43";"86,85";"81,78";"85,71";"75,58";"110,98";"90,62";"83,08";"97,74";"87,01";"110,17";"96,05";"115,88";"108,84";"70,53";"113,12";"117,50";"88,94";"65,85";"72,36";"76,91"
"130406 TABATINGA";"0,09";"6,05";"42,01";"90,98";"87,65";"125,30";"97,01";"76,94";"85,62";"89,79";"66,72";"86,07";"75,87";"96,36";"86,21";"89,19";"79,60";"87,05";"98,39";"100,81";"98,10";"117,44";"70,55";"86,98";"99,54";"87,01";"54,97";"82,54"
"130410 TAPAUA";"11,56";"90,90";"96,15";"215,54";"405,26";"89,06";"92,16";"92,97";"70,24";"69,50";"84,36";"86,40";"67,35";"71,94";"72,79";"76,52";"64,91";"80,74";"80,74";"74,48";"76,81";"63,55";"62,92";"69,71";"61,86";"56,30";"42,47";"88,15"
"130420 TEFE";"55,40";"57,12";"55,95";"54,58";"51,15";"61,93";"58,94";"80,02";"70,11";"64,49";"70,53";"75,41";"81,99";"85,20";"83,78";"97,70";"88,42";"92,17";"89,61";"93,84";"96,66";"78,68";"52,43";"83,28";"85,08";"126,26";"105,56";"75,83"
"130423 TONANTINS";"0";"54,37";"44,79";"57,00";"50,87";"26,84";"38,28";"45,37";"68,58";"47,91";"76,07";"92,53";"104,19";"81,07";"62,17";"90,10";"107,67";"104,15";"97,76";"124,75";"85,06";"105,28";"76,78";"92,90";"93,06";"59,17";"41,92";"65,97"
"130426 UARINI";"0";"10,68";"21,50";"39,42";"60,77";"23,40";"31,40";"65,03";"78,99";"85,23";"91,07";"60,90";"85,16";"144,96";"82,79";"112,08";"71,60";"78,85";"50,76";"92,71";"93,03";"96,37";"67,66";"34,65";"106,84";"61,56";"43,84";"66,02"
"130430 URUCARA";"0";"0";"12,80";"87,27";"124,27";"100,83";"116,01";"76,58";"74,56";"67,18";"68,52";"84,84";"100,92";"104,32";"128,25";"88,44";"113,27";"115,99";"108,84";"128,77";"116,50";"85,05";"89,79";"89,08";"102,64";"87,41";"85,56";"83,04"
"130440 URUCURITUBA";"0";"0";"0,89";"29,88";"94,53";"74,06";"83,64";"106,98";"77,95";"75,87";"62,42";"104,29";"92,38";"66,05";"80,61";"119,94";"111,97";"104,84";"99,72";"137,97";"99,69";"80,25";"65,14";"71,25";"81,94";"86,67";"54,92";"68,69"
"140002 AMAJARI";"0";"0";"0";"37,65";"163,22";"107,87";"45,31";"60,18";"200,00";"93,45";"51,82";"142,58";"84,90";"84,92";"38,38";"88,64";"71,21";"47,35";"52,65";"87,30";"79,55";"67,11";"100,00";"73,40";"61,69";"34,37";"12,68";"70,46"
"140005 ALTO ALEGRE";"0,26";"4,73";"10,99";"10,95";"110,83";"71,31";"65,47";"100,00";"182,76";"72,95";"56,92";"68,64";"80,23";"130,81";"93,92";"116,43";"100,81";"81,34";"76,88";"133,57";"70,67";"71,17";"82,56";"77,58";"53,33";"47,53";"30,04";"73,50"
"140010 BOA VISTA";"5,09";"31,05";"45,42";"51,54";"118,84";"106,74";"173,39";"92,32";"94,01";"94,42";"74,60";"98,65";"100,64";"103,40";"106,88";"105,97";"92,69";"98,00";"91,27";"79,83";"82,82";"105,12";"93,25";"97,87";"68,63";"80,46";"42,61";"87,57"
"140015 BONFIM";"1,23";"25,90";"10,03";"62,21";"54,59";"29,05";"90,57";"70,00";"190,16";"179,03";"73,31";"78,42";"56,41";"62,06";"49,33";"81,36";"75,00";"77,12";"47,03";"60,63";"91,03";"62,20";"107,69";"115,69";"211,23";"47,48";"19,63";"72,67"
"140017 CANTA";"0";"0";"0";"12,59";"62,80";"37,54";"66,32";"106,25";"57,92";"56,18";"50,42";"95,67";"30,39";"51,12";"30,36";"58,01";"60,50";"81,49";"72,24";"58,50";"55,24";"54,33";"43,09";"57,46";"26,67";"27,27";"28,98";"51,47"
"140020 CARACARAI";"0";"78,02";"43,11";"97,63";"139,53";"102,67";"80,00";"88,25";"113,42";"115,46";"76,94";"87,69";"82,97";"86,27";"61,90";"101,16";"94,80";"100,87";"84,10";"96,28";"74,59";"27,59";"34,95";"200,00";"74,18";"57,49";"38,82";"81,98"
"140023 CAROEBE";"0";"0";"0";"22,70";"137,23";"82,71";"120,00";"105,92";"105,56";"83,66";"47,16";"101,84";"96,88";"101,16";"112,20";"107,94";"101,59";"108,99";"69,84";"106,21";"112,32";"130,46";"102,60";"107,14";"143,15";"63,93";"71,04";"96,68"
"140028 IRACEMA";"0";"0";"0";"23,61";"184,93";"146,58";"62,50";"64,47";"147,73";"78,48";"45,21";"75,86";"80,14";"87,88";"76,67";"80,00";"70,56";"62,22";"54,44";"130,00";"75,72";"81,51";"90,38";"73,08";"83,85";"61,69";"53,90";"78,06"
"140030 MUCAJAI";"0";"7,27";"53,85";"98,32";"123,08";"67,33";"95,56";"76,43";"83,70";"107,82";"91,26";"126,28";"67,86";"98,88";"41,43";"91,25";"105,05";"87,21";"99,66";"77,35";"262,59";"69,91";"76,92";"101,67";"58,47";"65,37";"47,57";"81,08"
"140040 NORMANDIA";"4,80";"43,95";"151,59";"111,25";"44,49";"83,12";"84,67";"74,23";"105,90";"81,82";"69,68";"70,30";"73,43";"55,08";"65,93";"113,81";"85,82";"84,33";"76,87";"53,96";"91,54";"67,28";"77,66";"83,51";"68,54";"33,73";"14,46";"71,29"
"140045 PACARAIMA";"0";"0";"0";"12,44";"111,11";"86,79";"107,55";"150,72";"179,51";"122,29";"78,57";"92,83";"79,80";"91,47";"76,69";"73,08";"81,47";"85,31";"62,24";"49,83";"79,82";"93,48";"118,05";"99,70";"118,82";"153,42";"43,68";"94,10"
"140047 RORAINOPOLIS";"0";"0";"0";"25,84";"51,38";"128,95";"89,32";"93,80";"114,65";"104,79";"67,58";"101,26";"94,36";"82,47";"94,12";"84,18";"97,74";"94,63";"88,98";"102,58";"104,50";"152,49";"75,79";"84,84";"50,83";"38,72";"36,77";"84,42"
"140050 SAO JOAO DA BALIZA";"0,28";"29,45";"15,90";"81,72";"127,47";"193,18";"122,88";"75,63";"121,95";"96,67";"48,74";"86,15";"117,80";"103,54";"80,74";"103,88";"88,37";"104,65";"91,47";"90,24";"100,00";"84,17";"41,03";"84,62";"88,46";"55,74";"97,54";"73,34"
"140060 SAO LUIZ";"0";"64,69";"31,01";"141,03";"153,66";"74,22";"102,50";"181,48";"102,94";"107,38";"80,70";"114,42";"128,44";"152,00";"65,98";"114,29";"84,62";"100,00";"34,07";"92,13";"70,24";"51,25";"71,64";"131,34";"103,61";"27,36";"32,08";"76,92"
"140070 UIRAMUTA";"0";"0";"0";"60,00";"129,85";"127,82";"81,86";"74,89";"132,93";"87,19";"55,43";"55,68";"55,37";"42,90";"77,17";"78,91";"88,50";"91,69";"61,34";"59,67";"77,55";"81,82";"89,13";"69,78";"49,41";"42,47";"13,03";"68,67"
"150010 ABAETETUBA";"0,07";"1,59";"3,73";"2,41";"4,41";"36,25";"57,96";"114,87";"76,89";"67,97";"73,83";"89,31";"95,14";"99,96";"82,99";"91,60";"110,91";"109,43";"128,26";"103,40";"85,93";"57,08";"71,62";"63,00";"56,78";"46,77";"37,97";"63,58"
"150013 ABEL FIGUEIREDO";"11,84";"2,17";"0";"3,40";"51,66";"59,62";"65,84";"81,76";"66,89";"134,19";"139,29";"138,84";"150,46";"109,38";"130,43";"126,36";"110,08";"94,57";"97,67";"122,22";"59,65";"63,57";"102,00";"106,00";"100,85";"73,94";"64,79";"80,08"
"150020 ACARA";"7,26";"20,21";"24,84";"22,02";"42,20";"106,29";"162,98";"112,37";"125,43";"80,66";"72,78";"105,21";"106,71";"135,72";"91,79";"127,87";"131,02";"127,62";"107,94";"86,42";"79,38";"76,90";"52,21";"83,35";"51,36";"58,87";"53,23";"82,67"
"150030 AFUA";"0";"0";"0";"0,21";"67,93";"31,39";"42,10";"65,60";"43,30";"56,92";"71,32";"100,14";"57,01";"94,44";"96,51";"77,53";"65,61";"62,14";"58,52";"57,31";"32,92";"40,94";"28,54";"48,76";"52,47";"59,50";"25,72";"49,17"
"150034 AGUA AZUL DO NORTE";"0";"0";"0";"0";"6,13";"51,38";"17,83";"65,11";"31,64";"175,66";"236,06";"181,47";"256,48";"272,96";"261,47";"190,15";"229,56";"133,00";"122,66";"97,91";"81,71";"73,16";"64,84";"53,85";"38,65";"33,02";"45,58";"83,31"
"150040 ALENQUER";"0";"0";"0";"0";"38,61";"68,95";"100,92";"92,07";"73,13";"92,38";"77,94";"75,16";"66,26";"83,83";"56,57";"63,01";"46,96";"41,55";"57,84";"59,79";"80,23";"78,67";"65,90";"72,70";"63,43";"59,45";"40,99";"55,44"
"150050 ALMEIRIM";"2,71";"9,73";"7,66";"75,45";"56,19";"71,81";"30,45";"97,96";"74,68";"91,43";"100,69";"105,06";"87,49";"100,13";"90,56";"116,30";"92,88";"99,87";"110,48";"93,09";"88,60";"80,50";"81,35";"70,34";"71,85";"61,61";"27,65";"71,35"
"150060 ALTAMIRA";"0,03";"4,94";"17,18";"68,46";"144,97";"70,97";"74,83";"128,84";"130,05";"122,70";"91,31";"114,37";"103,66";"99,48";"91,26";"91,07";"93,24";"90,25";"104,80";"95,08";"94,58";"66,25";"90,18";"63,79";"73,05";"71,89";"42,82";"80,46"
"150070 ANAJAS";"0";"0";"0";"9,29";"36,91";"36,24";"51,76";"50,38";"72,60";"67,40";"62,17";"84,21";"71,34";"87,44";"83,31";"63,30";"82,02";"86,11";"86,99";"92,46";"41,94";"62,86";"64,27";"61,96";"68,30";"63,39";"43,39";"58,34"
"150080 ANANINDEUA";"6,81";"69,91";"109,74";"45,12";"112,89";"271,85";"103,41";"103,40";"121,66";"121,39";"55,27";"75,46";"70,71";"89,76";"82,79";"88,55";"95,05";"95,18";"91,45";"81,32";"73,95";"54,88";"30,75";"41,04";"46,51";"43,89";"22,20";"81,55"
"150085 ANAPU";"0";"0";"0";"0";"86,69";"30,20";"146,15";"55,88";"58,77";"163,76";"67,20";"76,19";"65,62";"68,65";"79,27";"89,81";"74,73";"75,58";"76,43";"120,21";"60,38";"71,19";"105,74";"92,96";"96,70";"79,52";"58,41";"78,82"
"150090 AUGUSTO CORREA";"0";"0";"0,33";"5,25";"27,89";"87,96";"22,01";"114,31";"85,09";"95,00";"116,19";"98,67";"79,16";"95,63";"90,47";"78,39";"64,58";"69,44";"79,17";"95,20";"49,17";"104,49";"46,61";"54,10";"55,52";"64,17";"34,01";"64,64"
"150095 AURORA DO PARA";"0";"0";"0";"0,58";"144,15";"32,23";"93,59";"76,95";"69,40";"80,74";"114,19";"223,36";"97,52";"140,91";"118,83";"104,31";"109,70";"113,15";"116,81";"116,44";"73,66";"45,80";"47,56";"58,60";"64,05";"72,32";"71,82";"80,89"
"150100 AVEIRO";"0";"0";"0";"18,12";"51,85";"27,48";"23,40";"42,89";"47,78";"37,65";"96,88";"110,67";"60,91";"93,97";"60,67";"105,64";"59,77";"67,67";"64,29";"100,88";"126,70";"68,42";"94,30";"69,43";"52,45";"175,62";"75,00";"52,58"
"150110 BAGRE";"4,37";"0";"0";"15,65";"108,00";"80,84";"56,57";"76,99";"67,07";"112,22";"95,52";"85,15";"62,43";"75,20";"73,24";"98,85";"80,46";"77,47";"82,99";"99,16";"32,54";"47,56";"51,95";"30,98";"38,21";"67,45";"19,89";"59,27"
"150120 BAIAO";"8,87";"0,66";"8,38";"16,40";"29,25";"56,74";"73,91";"138,93";"91,23";"53,47";"89,61";"102,73";"95,86";"98,79";"85,19";"103,44";"102,29";"100,57";"102,49";"88,31";"93,68";"61,77";"67,07";"77,64";"86,24";"68,25";"35,40";"69,95"
"150125 BANNACH";"0";"0";"0";"0";"64,00";"63,83";"177,78";"78,63";"86,96";"92,04";"163,83";"307,32";"154,24";"248,89";"140,28";"138,46";"117,31";"109,62";"132,69";"137,78";"95,24";"123,26";"135,42";"135,42";"116,22";"89,80";"46,94";"116,55"
"150130 BARCARENA";"0";"18,13";"17,10";"3,53";"94,03";"57,02";"61,65";"89,27";"86,04";"96,72";"97,90";"92,73";"94,64";"99,09";"109,27";"119,80";"106,57";"116,12";"113,33";"113,49";"67,59";"77,59";"73,10";"76,38";"73,51";"71,77";"43,69";"78,64"
"150140 BELEM";"4,99";"23,00";"44,88";"65,63";"88,40";"94,97";"130,02";"108,11";"106,95";"107,06";"96,03";"111,79";"113,25";"107,97";"98,87";"99,31";"103,63";"91,00";"81,64";"75,23";"56,83";"41,16";"61,62";"55,49";"67,05";"66,13";"35,14";"76,68"
"150145 BELTERRA";"0";"0";"0";"0";"31,37";"202,29";"97,05";"63,21";"69,01";"62,74";"78,20";"114,40";"137,44";"119,45";"90,07";"177,78";"96,30";"114,35";"119,91";"143,28";"117,28";"77,61";"102,94";"102,10";"90,87";"95,22";"54,78";"93,24"
"150150 BENEVIDES";"13,09";"38,14";"50,11";"47,95";"118,65";"69,87";"76,96";"142,84";"79,57";"96,75";"118,06";"93,76";"95,97";"105,06";"109,55";"110,09";"106,76";"94,68";"107,21";"84,93";"106,28";"70,59";"58,85";"56,44";"54,21";"40,73";"29,97";"73,07"
"150157 BOM JESUS DO TOCANTINS";"0";"0";"0";"0,93";"50,32";"56,08";"78,09";"77,81";"49,08";"95,74";"147,30";"125,26";"132,94";"113,31";"139,34";"131,91";"100,43";"124,26";"102,98";"96,47";"68,12";"70,00";"59,11";"98,52";"72,58";"96,44";"55,56";"76,95"
"150160 BONITO";"3,54";"3,15";"1,34";"0,77";"115,99";"15,47";"83,92";"109,54";"38,37";"138,31";"164,84";"167,49";"166,67";"87,56";"100,00";"109,66";"87,50";"92,05";"82,95";"104,97";"65,90";"89,23";"82,79";"67,91";"78,57";"85,87";"40,76";"74,50"
"150170 BRAGANCA";"0";"0";"0";"103,42";"5,28";"37,43";"58,32";"122,87";"64,55";"74,11";"72,00";"99,61";"84,63";"90,41";"80,75";"91,01";"90,28";"84,28";"90,96";"99,35";"83,47";"50,78";"44,82";"43,80";"58,35";"58,98";"43,64";"62,38"
"150172 BRASIL NOVO";"0";"0";"2,95";"0";"86,78";"21,50";"61,97";"138,93";"90,57";"87,47";"148,62";"98,53";"171,93";"173,23";"129,09";"167,25";"158,52";"113,10";"119,65";"103,42";"62,72";"73,23";"81,72";"64,14";"80,51";"77,18";"44,14";"83,46"
"150175 BREJO GRANDE DO ARAGUAIA";"0";"0";"0";"0";"150,96";"81,01";"82,91";"107,30";"68,33";"87,43";"96,80";"144,44";"142,02";"147,11";"103,15";"129,09";"81,82";"100,91";"83,64";"97,27";"30,93";"49,47";"78,26";"103,26";"115,19";"95,70";"78,49";"77,94"
"150178 BREU BRANCO";"0";"0";"0";"0";"27,16";"38,00";"72,65";"108,90";"89,35";"83,66";"79,20";"134,41";"88,60";"111,02";"84,06";"85,59";"63,46";"74,86";"71,17";"94,75";"77,47";"55,67";"51,71";"50,53";"56,66";"36,56";"36,43";"67,97"
"150180 BREVES";"0";"0";"0";"6,07";"69,58";"81,19";"62,58";"71,44";"84,46";"105,69";"132,53";"140,57";"132,55";"164,65";"183,37";"191,26";"122,62";"124,13";"143,87";"93,88";"28,58";"29,19";"24,03";"29,03";"32,11";"25,78";"10,69";"73,11"
