 Óbitos por causas evitáveis de 5 a 74 anos - Brasil
Óbitos p/Residênc por Município e Ano do Óbito
Categoria CID-10: A95   Febre amarela
Período:1996-2018
"521250 Luziânia";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1
"521308 Minaçu";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"521960 Santa Tereza de Goiás";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"522010 São Luís de Montes Belos";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1
"522045 Senador Canedo";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1
"522160 Uruaçu";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"530010 Brasília";-;-;-;-;4;-;-;-;-;5;-;-;-;-;1;-;3;1;14
"Total";5;1;6;6;18;7;7;1;5;18;12;1;2;1;4;8;185;248;535
 Fonte: MS/SVS/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Nota:
 
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
 No dia 13/06/2019, os arquivos do SIM referentes ao ano de notificação 2017 foram atualizados, com alteração das causas básicas de 2 registros e exclusão de 1 registro.
 
